assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
carpet_016,carpet,runtime-assets/carpet_016.glb,11836,184,1,1,metric_near_duplicate_candidate,carpet_007
carpet_017,carpet,runtime-assets/carpet_017.glb,14264,321,1,1,metric_near_duplicate_candidate,carpet_018
carpet_018,carpet,runtime-assets/carpet_018.glb,14264,321,1,1,metric_near_duplicate_candidate,carpet_017
carpet_020,carpet,runtime-assets/carpet_020.glb,9752,189,1,1,metric_near_duplicate_candidate,carpet_005
carpet_022,carpet,runtime-assets/carpet_022.glb,11908,184,1,1,metric_near_duplicate_candidate,carpet_007
carpet_029,carpet,runtime-assets/carpet_029.glb,11808,220,2,1,intentional_variant,
carpet_039,carpet,runtime-assets/carpet_039.glb,9756,189,1,1,metric_near_duplicate_candidate,carpet_005
carpet_053,carpet,runtime-assets/carpet_053.glb,9752,189,1,1,metric_near_duplicate_candidate,carpet_005
carpet_062,carpet,runtime-assets/carpet_062.glb,9752,189,1,1,metric_near_duplicate_candidate,carpet_005
carpet_067,carpet,runtime-assets/carpet_067.glb,9756,189,1,1,metric_near_duplicate_candidate,carpet_005
chair,chair,runtime-assets/chair.glb,654096,516,4,6,intentional_variant,
chair_001,chair,runtime-assets/chair_001.glb,8000,142,1,1,intentional_variant,
chair_002,chair,runtime-assets/chair_002.glb,9000,160,1,1,intentional_variant,
chair_003,chair,runtime-assets/chair_003.glb,8472,136,1,1,intentional_variant,
chair_004,chair,runtime-assets/chair_004.glb,8312,130,1,1,metric_near_duplicate_candidate,chair_005
chair_005,chair,runtime-assets/chair_005.glb,8308,130,1,1,metric_near_duplicate_candidate,chair_004
chair_006,chair,runtime-assets/chair_006.glb,7748,106,1,1,metric_near_duplicate_candidate,chair_007
chair_007,chair,runtime-assets/chair_007.glb,7744,106,1,1,metric_near_duplicate_candidate,chair_006
chair_008,chair,runtime-assets/chair_008.glb,96764,374,2,2,metric_near_duplicate_candidate,chair_048
chair_009,chair,runtime-assets/chair_009.glb,11752,232,1,1,intentional_variant,
chair_010,chair,runtime-assets/chair_010.glb,10788,258,1,1,metric_near_duplicate_candidate,chair_049
chair_011,chair,runtime-assets/chair_011.glb,528044,768,2,4,intentional_variant,
chair_012,chair,runtime-assets/chair_012.glb,14796,318,2,1,intentional_variant,
chair_013,chair,runtime-assets/chair_013.glb,225892,680,2,3,intentional_variant,
chair_014,chair,runtime-assets/chair_014.glb,95096,452,2,2,metric_near_duplicate_candidate,chair_050
chair_015,chair,runtime-assets/chair_015.glb,190876,346,2,3,intentional_variant,
chair_016,chair,runtime-assets/chair_016.glb,92984,248,3,2,intentional_variant,
chair_017,chair,runtime-assets/chair_017.glb,92604,354,2,2,intentional_variant,
chair_018,chair,runtime-assets/chair_018.glb,92060,322,2,2,intentional_variant,
chair_019,chair,runtime-assets/chair_019.glb,13860,278,1,1,intentional_variant,
chair_020,chair,runtime-assets/chair_020.glb,92080,400,2,2,intentional_variant,
chair_021,chair,runtime-assets/chair_021.glb,94564,442,2,2,intentional_variant,
chair_022,chair,runtime-assets/chair_022.glb,92148,360,2,2,intentional_variant,
chair_023,chair,runtime-assets/chair_023.glb,233628,376,1,2,intentional_variant,
chair_024,chair,runtime-assets/chair_024.glb,91220,380,2,2,intentional_variant,
chair_025,chair,runtime-assets/chair_025.glb,12668,180,2,1,intentional_variant,
chair_026,chair,runtime-assets/chair_026.glb,23064,452,1,1,metric_near_duplicate_candidate,chair_051
chair_027,chair,runtime-assets/chair_027.glb,31084,808,2,1,intentional_variant,
chair_028,chair,runtime-assets/chair_028.glb,256220,704,1,2,intentional_variant,
chair_029,chair,runtime-assets/chair_029.glb,332244,316,2,3,intentional_variant,
chair_030,chair,runtime-assets/chair_030.glb,237648,740,2,3,intentional_variant,
chair_031,chair,runtime-assets/chair_031.glb,330176,654,3,4,intentional_variant,
chair_032,chair,runtime-assets/chair_032.glb,277008,2684,3,3,intentional_variant,
chair_033,chair,runtime-assets/chair_033.glb,73584,1932,2,1,intentional_variant,
chair_034,chair,runtime-assets/chair_034.glb,234820,604,3,3,intentional_variant,
