assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,maxTextureDimension,runtimePolicyStatus
prop_109,prop,Decor,Prop 109,thumbnails/prop_109.webp,runtime-assets/prop_109.glb,9228,116,2,1,512,PASS
prop_110,prop,Decor,Prop 110,thumbnails/prop_110.webp,runtime-assets/prop_110.glb,9228,116,2,1,512,PASS
work_table_014,work,Tables,Work Table 14,thumbnails/work_table_014.webp,runtime-assets/work_table_014.glb,9228,104,1,1,512,PASS
work_table_016,work,Tables,Work Table 16,thumbnails/work_table_016.webp,runtime-assets/work_table_016.glb,9228,104,1,1,512,PASS
prop_156,prop,Decor,Prop 156,thumbnails/prop_156.webp,runtime-assets/prop_156.glb,9292,107,2,1,512,PASS
electronics_049,electronics,Decor,Electronics 49,thumbnails/electronics_049.webp,runtime-assets/electronics_049.glb,9352,116,2,1,512,PASS
coffee_table_028,coffee,Tables,Coffee Table 28,thumbnails/coffee_table_028.webp,runtime-assets/coffee_table_028.glb,9356,106,1,1,512,PASS
ladder_002,ladder,Decor,Ladder 2,thumbnails/ladder_002.webp,runtime-assets/ladder_002.glb,9508,90,1,1,512,PASS
prop_158,prop,Decor,Prop 158,thumbnails/prop_158.webp,runtime-assets/prop_158.glb,9676,148,2,1,512,PASS
picture_069,picture,Decor,Picture 69,thumbnails/picture_069.webp,runtime-assets/picture_069.glb,9712,28,2,2,512,PASS
prop_107,prop,Decor,Prop 107,thumbnails/prop_107.webp,runtime-assets/prop_107.glb,9720,156,2,1,512,PASS
prop_106,prop,Decor,Prop 106,thumbnails/prop_106.webp,runtime-assets/prop_106.glb,9724,156,2,1,512,PASS
carpet_005,carpet,Decor,Carpet 5,thumbnails/carpet_005.webp,runtime-assets/carpet_005.glb,9752,189,1,1,512,PASS
carpet_020,carpet,Decor,Carpet 20,thumbnails/carpet_020.webp,runtime-assets/carpet_020.glb,9752,189,1,1,512,PASS
carpet_053,carpet,Decor,Carpet 53,thumbnails/carpet_053.webp,runtime-assets/carpet_053.glb,9752,189,1,1,512,PASS
carpet_062,carpet,Decor,Carpet 62,thumbnails/carpet_062.webp,runtime-assets/carpet_062.glb,9752,189,1,1,512,PASS
carpet_039,carpet,Decor,Carpet 39,thumbnails/carpet_039.webp,runtime-assets/carpet_039.glb,9756,189,1,1,512,PASS
carpet_067,carpet,Decor,Carpet 67,thumbnails/carpet_067.webp,runtime-assets/carpet_067.glb,9756,189,1,1,512,PASS
prop_098,prop,Decor,Prop 98,thumbnails/prop_098.webp,runtime-assets/prop_098.glb,9796,148,1,1,512,PASS
prop_092,prop,Decor,Prop 92,thumbnails/prop_092.webp,runtime-assets/prop_092.glb,9984,128,2,1,512,PASS
prop_161,prop,Decor,Prop 161,thumbnails/prop_161.webp,runtime-assets/prop_161.glb,10036,123,2,1,512,PASS
picture_071,picture,Decor,Picture 71,thumbnails/picture_071.webp,runtime-assets/picture_071.glb,10212,30,2,2,512,PASS
training_010,training,Decor,Training 10,thumbnails/training_010.webp,runtime-assets/training_010.glb,10344,164,2,1,512,PASS
chair_010,chair,Seating,Chair 10,thumbnails/chair_010.webp,runtime-assets/chair_010.glb,10788,258,1,1,512,PASS
chair_049,chair,Seating,Chair 49,thumbnails/chair_049.webp,runtime-assets/chair_049.glb,10788,258,1,1,512,PASS
picture_072,picture,Decor,Picture 72,thumbnails/picture_072.webp,runtime-assets/picture_072.glb,10852,28,2,2,512,PASS
picture_080,picture,Decor,Picture 80,thumbnails/picture_080.webp,runtime-assets/picture_080.glb,10868,30,2,2,512,PASS
ladder_005,ladder,Decor,Ladder 5,thumbnails/ladder_005.webp,runtime-assets/ladder_005.glb,10908,110,1,1,512,PASS
prop_150,prop,Decor,Prop 150,thumbnails/prop_150.webp,runtime-assets/prop_150.glb,11084,159,2,1,512,PASS
prop_162,prop,Decor,Prop 162,thumbnails/prop_162.webp,runtime-assets/prop_162.glb,11232,162,2,1,512,PASS
prop_165,prop,Decor,Prop 165,thumbnails/prop_165.webp,runtime-assets/prop_165.glb,11232,162,2,1,512,PASS
prop_174,prop,Decor,Prop 174,thumbnails/prop_174.webp,runtime-assets/prop_174.glb,11232,162,2,1,512,PASS
prop_177,prop,Decor,Prop 177,thumbnails/prop_177.webp,runtime-assets/prop_177.glb,11232,162,2,1,512,PASS
prop_157,prop,Decor,Prop 157,thumbnails/prop_157.webp,runtime-assets/prop_157.glb,11304,143,3,1,512,PASS
prop_184,prop,Decor,Prop 184,thumbnails/prop_184.webp,runtime-assets/prop_184.glb,11340,154,2,1,512,PASS
prop_111,prop,Decor,Prop 111,thumbnails/prop_111.webp,runtime-assets/prop_111.glb,11428,156,3,1,512,PASS
prop_187,prop,Decor,Prop 187,thumbnails/prop_187.webp,runtime-assets/prop_187.glb,11564,212,1,1,512,PASS
prop_179,prop,Decor,Prop 179,thumbnails/prop_179.webp,runtime-assets/prop_179.glb,11612,162,2,1,512,PASS
prop_176,prop,Decor,Prop 176,thumbnails/prop_176.webp,runtime-assets/prop_176.glb,11616,162,2,1,512,PASS
cupboard_025,cupboard,Storage,Cupboard 25,thumbnails/cupboard_025.webp,runtime-assets/cupboard_025.glb,11668,172,1,1,512,PASS
prop_185,prop,Decor,Prop 185,thumbnails/prop_185.webp,runtime-assets/prop_185.glb,11712,162,2,1,512,PASS
picture_081,picture,Decor,Picture 81,thumbnails/picture_081.webp,runtime-assets/picture_081.glb,11736,30,2,2,512,PASS
chair_009,chair,Seating,Chair 9,thumbnails/chair_009.webp,runtime-assets/chair_009.glb,11752,232,1,1,512,PASS
prop_169,prop,Decor,Prop 169,thumbnails/prop_169.webp,runtime-assets/prop_169.glb,11756,182,2,1,512,PASS
prop_167,prop,Decor,Prop 167,thumbnails/prop_167.webp,runtime-assets/prop_167.glb,11780,184,2,1,512,PASS
carpet_029,carpet,Decor,Carpet 29,thumbnails/carpet_029.webp,runtime-assets/carpet_029.glb,11808,220,2,1,512,PASS
carpet_016,carpet,Decor,Carpet 16,thumbnails/carpet_016.webp,runtime-assets/carpet_016.glb,11836,184,1,1,512,PASS
carpet_007,carpet,Decor,Carpet 7,thumbnails/carpet_007.webp,runtime-assets/carpet_007.glb,11908,184,1,1,512,PASS
carpet_022,carpet,Decor,Carpet 22,thumbnails/carpet_022.webp,runtime-assets/carpet_022.glb,11908,184,1,1,512,PASS
picture_067,picture,Decor,Picture 67,thumbnails/picture_067.webp,runtime-assets/picture_067.glb,12148,28,2,2,512,PASS
prop_182,prop,Decor,Prop 182,thumbnails/prop_182.webp,runtime-assets/prop_182.glb,12160,208,1,1,512,PASS
dresser_021,dresser,Storage,Dresser 21,thumbnails/dresser_021.webp,runtime-assets/dresser_021.glb,12248,194,2,1,512,PASS
prop_149,prop,Decor,Prop 149,thumbnails/prop_149.webp,runtime-assets/prop_149.glb,12260,192,2,1,512,PASS
coffee_table_030,coffee,Tables,Coffee Table 30,thumbnails/coffee_table_030.webp,runtime-assets/coffee_table_030.glb,12444,194,1,1,512,PASS
coffee_table_040,coffee,Tables,Coffee Table 40,thumbnails/coffee_table_040.webp,runtime-assets/coffee_table_040.glb,12444,194,1,1,512,PASS
training_013,training,Decor,Training 13,thumbnails/training_013.webp,runtime-assets/training_013.glb,12456,128,2,1,512,PASS
prop_160,prop,Decor,Prop 160,thumbnails/prop_160.webp,runtime-assets/prop_160.glb,12496,178,2,1,512,PASS
chair_025,chair,Seating,Chair 25,thumbnails/chair_025.webp,runtime-assets/chair_025.glb,12668,180,2,1,512,PASS
prop_180,prop,Decor,Prop 180,thumbnails/prop_180.webp,runtime-assets/prop_180.glb,12876,178,2,1,512,PASS
prop_153,prop,Decor,Prop 153,thumbnails/prop_153.webp,runtime-assets/prop_153.glb,12992,155,3,1,512,PASS
prop_178,prop,Decor,Prop 178,thumbnails/prop_178.webp,runtime-assets/prop_178.glb,13100,180,2,1,512,PASS
prop_189,prop,Decor,Prop 189,thumbnails/prop_189.webp,runtime-assets/prop_189.glb,13128,155,3,1,512,PASS
prop_105,prop,Decor,Prop 105,thumbnails/prop_105.webp,runtime-assets/prop_105.glb,13156,232,2,1,512,PASS
sofa_043,sofa,Seating,Sofa 43,thumbnails/sofa_043.webp,runtime-assets/sofa_043.glb,13164,238,1,1,512,PASS
chair_066,chair,Seating,Chair 66,thumbnails/chair_066.webp,runtime-assets/chair_066.glb,13196,196,2,1,512,PASS
chair_043,chair,Seating,Chair 43,thumbnails/chair_043.webp,runtime-assets/chair_043.glb,13224,148,2,1,512,PASS
picture_084,picture,Decor,Picture 84,thumbnails/picture_084.webp,runtime-assets/picture_084.glb,13280,30,2,2,512,PASS
curtain_085,curtain,Decor,Curtain 85,thumbnails/curtain_085.webp,runtime-assets/curtain_085.glb,13344,444,1,1,512,PASS
dresser_005,dresser,Storage,Dresser 5,thumbnails/dresser_005.webp,runtime-assets/dresser_005.glb,13472,168,2,1,512,PASS
shelf_059,shelf,Storage,Shelf 59,thumbnails/shelf_059.webp,runtime-assets/shelf_059.glb,13556,252,1,1,512,PASS
dresser,dresser,Storage,Dresser,thumbnails/dresser.webp,runtime-assets/dresser.glb,13664,232,2,1,512,PASS
prop_163,prop,Decor,Prop 163,thumbnails/prop_163.webp,runtime-assets/prop_163.glb,13756,236,1,1,512,PASS
prop_142,prop,Decor,Prop 142,thumbnails/prop_142.webp,runtime-assets/prop_142.glb,13768,274,1,1,512,PASS
cupboard_014,cupboard,Storage,Cupboard 14,thumbnails/cupboard_014.webp,runtime-assets/cupboard_014.glb,13772,172,3,1,512,PASS
chair_019,chair,Seating,Chair 19,thumbnails/chair_019.webp,runtime-assets/chair_019.glb,13860,278,1,1,512,PASS
sofa_042,sofa,Seating,Sofa 42,thumbnails/sofa_042.webp,runtime-assets/sofa_042.glb,14124,238,2,1,512,PASS
sofa_054,sofa,Seating,Sofa 54,thumbnails/sofa_054.webp,runtime-assets/sofa_054.glb,14124,238,2,1,512,PASS
electronics_033,electronics,Decor,Electronics 33,thumbnails/electronics_033.webp,runtime-assets/electronics_033.glb,14140,182,3,1,512,PASS
prop_099,prop,Decor,Prop 99,thumbnails/prop_099.webp,runtime-assets/prop_099.glb,14176,260,1,1,512,PASS
picture_076,picture,Decor,Picture 76,thumbnails/picture_076.webp,runtime-assets/picture_076.glb,14248,28,2,2,512,PASS
carpet_017,carpet,Decor,Carpet 17,thumbnails/carpet_017.webp,runtime-assets/carpet_017.glb,14264,321,1,1,512,PASS
carpet_018,carpet,Decor,Carpet 18,thumbnails/carpet_018.webp,runtime-assets/carpet_018.glb,14264,321,1,1,512,PASS
shelf_064,shelf,Storage,Shelf 64,thumbnails/shelf_064.webp,runtime-assets/shelf_064.glb,14296,312,1,1,512,PASS
prop_188,prop,Decor,Prop 188,thumbnails/prop_188.webp,runtime-assets/prop_188.glb,14324,242,2,1,512,PASS
flower_049,flower,Plants,Flower 49,thumbnails/flower_049.webp,runtime-assets/flower_049.glb,14336,264,1,1,512,PASS
cupboard_016,cupboard,Storage,Cupboard 16,thumbnails/cupboard_016.webp,runtime-assets/cupboard_016.glb,14460,222,2,1,512,PASS
entertainment_034,entertainment,Storage,Entertainment 34,thumbnails/entertainment_034.webp,runtime-assets/entertainment_034.glb,14500,210,3,1,512,PASS
prop_096,prop,Decor,Prop 96,thumbnails/prop_096.webp,runtime-assets/prop_096.glb,14524,304,2,1,512,PASS
chair_012,chair,Seating,Chair 12,thumbnails/chair_012.webp,runtime-assets/chair_012.glb,14796,318,2,1,512,PASS
entertainment_032,entertainment,Storage,Entertainment 32,thumbnails/entertainment_032.webp,runtime-assets/entertainment_032.glb,14864,220,3,1,512,PASS
prop_095,prop,Decor,Prop 95,thumbnails/prop_095.webp,runtime-assets/prop_095.glb,15124,324,2,1,512,PASS
prop_173,prop,Decor,Prop 173,thumbnails/prop_173.webp,runtime-assets/prop_173.glb,15148,206,3,1,512,PASS
prop_117,prop,Decor,Prop 117,thumbnails/prop_117.webp,runtime-assets/prop_117.glb,15244,240,1,1,512,PASS
picture_082,picture,Decor,Picture 82,thumbnails/picture_082.webp,runtime-assets/picture_082.glb,15316,30,2,2,512,PASS
prop_091,prop,Decor,Prop 91,thumbnails/prop_091.webp,runtime-assets/prop_091.glb,15336,252,1,1,512,PASS
prop_116,prop,Decor,Prop 116,thumbnails/prop_116.webp,runtime-assets/prop_116.glb,15424,298,2,1,512,PASS
picture_079,picture,Decor,Picture 79,thumbnails/picture_079.webp,runtime-assets/picture_079.glb,15548,156,2,2,512,PASS
work_table_001,work,Tables,Work Table 1,thumbnails/work_table_001.webp,runtime-assets/work_table_001.glb,15656,196,1,1,512,PASS
ladder_007,ladder,Decor,Ladder 7,thumbnails/ladder_007.webp,runtime-assets/ladder_007.glb,15812,180,1,1,512,PASS
prop_084,prop,Decor,Prop 84,thumbnails/prop_084.webp,runtime-assets/prop_084.glb,15824,328,2,1,512,PASS
prop_171,prop,Decor,Prop 171,thumbnails/prop_171.webp,runtime-assets/prop_171.glb,15844,236,1,1,512,PASS
prop_181,prop,Decor,Prop 181,thumbnails/prop_181.webp,runtime-assets/prop_181.glb,15928,242,2,1,512,PASS
training_009,training,Decor,Training 9,thumbnails/training_009.webp,runtime-assets/training_009.glb,15988,319,2,1,512,PASS
training_006,training,Decor,Training 6,thumbnails/training_006.webp,runtime-assets/training_006.glb,16260,248,3,1,512,PASS
flower_051,flower,Plants,Flower 51,thumbnails/flower_051.webp,runtime-assets/flower_051.glb,16500,475,1,1,512,PASS
flower_050,flower,Plants,Flower 50,thumbnails/flower_050.webp,runtime-assets/flower_050.glb,16512,461,1,1,512,PASS
prop_152,prop,Decor,Prop 152,thumbnails/prop_152.webp,runtime-assets/prop_152.glb,16528,414,1,1,512,PASS
chair_042,chair,Seating,Chair 42,thumbnails/chair_042.webp,runtime-assets/chair_042.glb,16944,384,1,1,512,PASS
ladder_004,ladder,Decor,Ladder 4,thumbnails/ladder_004.webp,runtime-assets/ladder_004.glb,17072,198,1,1,512,PASS
sofa_068,sofa,Seating,Sofa 68,thumbnails/sofa_068.webp,runtime-assets/sofa_068.glb,17436,326,2,1,512,PASS
picture_078,picture,Decor,Picture 78,thumbnails/picture_078.webp,runtime-assets/picture_078.glb,17500,156,2,2,512,PASS
